price,street,beds,baths,sq ft,link
255000,"TBD Lot 2 Rr-1826 Rd, Austin, TX 78737",0 beds,— baths,—,www.redfin.com/TX/Austin/TBD-Lot-2-Rr-1826-RD-78737/home/190856904
845000,"Cameron Rd. Austin, TX Cameron Rd, Austin, TX 78754",0 beds,— baths,—,www.redfin.com/TX/Austin/Cameron-Rd-Austin-TX-Cameron-Rd-Unknown/home/195429981
4600000,"2203 Greenlee Dr, Austin, TX 78703",5 beds,5.5 baths,"4,416",www.redfin.com/TX/Austin/2203-Greenlee-Dr-78703/home/31235181
570000,"13017 Hymeadow Cir, Austin, TX 78729",3 beds,2 baths,"1,987",www.redfin.com/TX/Austin/13017-Hymeadow-Cir-78729/home/33176943
352500,"6324 N Lamar Blvd #419, Austin, TX 78752",2 beds,2 baths,962,www.redfin.com/TX/Austin/6324-N-Lamar-Blvd-78752/unit-419/home/197739802
749900,"1801 E 2nd St #2, Austin, TX 78702",3 beds,3.5 baths,"1,911",www.redfin.com/TX/Austin/1801-E-2nd-St-78702/unit-2/home/58770820
207500,"6324 N Lamar Blvd #206, Austin, TX 78752",1 bed,1 bath,562,www.redfin.com/TX/Austin/6324-N-Lamar-Blvd-78752/unit-206/home/197739752
227500,"6324 N Lamar Blvd #213, Austin, TX 78752",1 bed,1 bath,720,www.redfin.com/TX/Austin/6324-N-Lamar-Blvd-78752/unit-213/home/197739757
997500,"5801 Leckrone Cv, Austin, TX 78735",5 beds,4 baths,"3,540",www.redfin.com/TX/Austin/5801-Leckrone-Cv-78735/home/31147908
750000,"6309 Colina Ln, Austin, TX 78759",3 beds,2.5 baths,"2,273",www.redfin.com/TX/Austin/6309-Colina-Ln-78759/home/31322970
1275000,"4515 Bull Creek Rd, Austin, TX 78731",3 beds,2 baths,"1,731",www.redfin.com/TX/Austin/4515-Bull-Creek-Rd-78731/home/31452924
3200000,"4512 Elohi Dr, Austin, TX 78746",5 beds,4.5 baths,"4,314",www.redfin.com/TX/Austin/4512-Elohi-Dr-78746/home/31249268
800000,"10648 Floral Park Dr, Austin, TX 78759",4 beds,2.5 baths,"2,546",www.redfin.com/TX/Austin/10648-Floral-Park-Dr-78759/home/31315390
375000,"8903 Palace Pkwy, Austin, TX 78748",3 beds,2 baths,"1,086",www.redfin.com/TX/Austin/8903-Palace-Pkwy-78748/home/31809358
625000,"504 W Croslin St, Austin, TX 78752",3 beds,2 baths,"1,225",www.redfin.com/TX/Austin/504-W-Croslin-St-78752/home/31471956
525000,"1304 Palo Duro Rd Unit B, Austin, TX 78757",2 beds,2 baths,891,www.redfin.com/TX/Austin/1304-Palo-Duro-Rd-78757/unit-B/home/144005258
5750000,"1000 Baylor St, Austin, TX 78703",4 beds,3 baths,"1,928",www.redfin.com/TX/Austin/1000-Baylor-St-78703/home/31215157
365000,"1916 Tramson Dr Unit 98C, Austin, TX 78741",3 beds,3 baths,"1,656",www.redfin.com/TX/Austin/1916-Tramson-Dr-78741/unit-98C/home/31191546
595000,"5110 Valley Oak Dr, Austin, TX 78731",3 beds,1 bath,"1,368",www.redfin.com/TX/Austin/5110-Valley-Oak-Dr-78731/home/31253644
500000,"2308 Santa Rita St, Austin, TX 78702",2 beds,2 baths,882,www.redfin.com/TX/Austin/2308-Santa-Rita-St-78702/home/31363894
310690,"5908 Swedish Farms Ter, Del Valle, TX 78617",3 beds,2.5 baths,"1,693",www.redfin.com/TX/Del-Valle/5908-Swedish-Farms-Ter-78617/home/200068546
300000,"1127 Mark St Unit D, Austin, TX 78721",2 beds,1 bath,864,www.redfin.com/TX/Austin/1127-Mark-St-78721/unit-D/home/31379754
425000,"4913 Single Shot #b Cir, Austin, TX 78723",2 beds,2.5 baths,"1,215",www.redfin.com/TX/Austin/4913-Single-Shot-Cir-78723/home/31407907
300690,"6009 Swedish Farms Ter, Del Valle, TX 78617",3 beds,2.5 baths,"1,518",www.redfin.com/TX/Del-Valle/6009-Swedish-Farms-Ter-78617/home/200067678
605000,"8601 Putnam Dr, Austin, TX 78757",3 beds,2.5 baths,"1,848",www.redfin.com/TX/Austin/8601-Putnam-Dr-78757/home/31913523
460397,"5301 Monarda Mint Dr, Manor, TX 78653",4 beds,3 baths,"2,344",www.redfin.com/TX/Manor/5301-Monarda-Mint-Dr-78653/home/199947141
729900,"2117 Shoalmont Dr, Austin, TX 78756",2 beds,2 baths,"1,142",www.redfin.com/TX/Austin/2117-Shoalmont-Dr-78756/home/31461619
446362,"5219 Monarda Mint Dr, Manor, TX 78653",4 beds,3 baths,"2,029",www.redfin.com/TX/Manor/5219-Monarda-Mint-Dr-78653/home/199947140
1500000,"3021 Fontana Dr Unit A, Austin, TX 78704",3 beds,3.5 baths,"2,339",www.redfin.com/TX/Austin/3021-Fontana-Dr-78704/unit-A/home/31695726
699000,"8900 Currywood Dr, Austin, TX 78759",3 beds,2 baths,"1,899",www.redfin.com/TX/Austin/8900-Currywood-Dr-78759/home/31893662
458381,"5218 Monarda Mint Dr, Austin, TX 78754",4 beds,2.5 baths,"2,218",www.redfin.com/TX/Austin/5218-Monarda-Mint-DR-78754/home/200066452
199999,"620 S 1st St #209, Austin, TX 78704",1 bed,1 bath,605,www.redfin.com/TX/Austin/620-S-1st-St-78704/unit-209/home/30959531
239000,"7635 Guadalupe St #102, Austin, TX 78752",2 beds,1 bath,929,www.redfin.com/TX/Austin/7635-Guadalupe-St-78752/unit-102/home/30972456
329999,"5402 Beacon Dr Unit A, Austin, TX 78734",2 beds,2.5 baths,"1,430",www.redfin.com/TX/Austin/5402-Beacon-Dr-78734/unit-A/home/30964864
478253,"5216 Monarda Mint Dr, Manor, TX 78653",4 beds,3 baths,"2,344",www.redfin.com/TX/Manor/5216-Monarda-Mint-Dr-78653/home/199947145
405000,"4015 Alexandria Dr, Austin, TX 78749",3 beds,2 baths,"1,220",www.redfin.com/TX/Austin/4015-Alexandria-Dr-78749/home/31763722
700000,"2400 White Dove Pass, Austin, TX 78734",3 beds,2.5 baths,"2,171",www.redfin.com/TX/Austin/2400-White-Dove-Pass-78734/home/109926841
500000,"603 Davis St #1101, Austin, TX 78701",1 bed,1 bath,"1,005",www.redfin.com/TX/Austin/603-Davis-St-78701/unit-1101/home/31124574
225000,"7920 Rockwood Ln #129, Austin, TX 78757",2 beds,1 bath,908,www.redfin.com/TX/Austin/7920-Rockwood-Ln-78757/unit-129/home/31500367
634900,"1314 E 13th St, Austin, TX 78702",3 beds,2 baths,"1,144",www.redfin.com/TX/Austin/1314-E-13th-St-78702/home/31381368
299900,"7710 Eastcrest Dr, Austin, TX 78752",4 beds,2 baths,"1,716",www.redfin.com/TX/Austin/7710-Eastcrest-Dr-78752/home/31475760
1350000,"807 W 30th St, Austin, TX 78705",4 beds,3 baths,"1,841",www.redfin.com/TX/Austin/807-W-30th-St-78705/home/31413014
1024900,"290 Leaning Rock Rdg, Austin, TX 78737",4 beds,3 baths,"3,118",www.redfin.com/TX/Austin/290-Leaning-Rock-Rdg-78737/home/197880995
199000,"1800 Lavaca St Unit A305, Austin, TX 78701",1 bed,1 bath,608,www.redfin.com/TX/Austin/1800-Lavaca-St-78701/unit-A305/home/31384359
749000,"2710 Thrushwood Dr, Austin, TX 78757",3 beds,2 baths,"1,805",www.redfin.com/TX/Austin/2710-Thrushwood-Dr-78757/home/31511717
1200000,"606A Clifford Dr, Austin, TX 78745",4 beds,4 baths,"2,484",www.redfin.com/TX/Austin/606-Clifford-Dr-78745/home/183900318
2800000,"1506 Bouldin Ave, Austin, TX 78704",4 beds,3.5 baths,"2,934",www.redfin.com/TX/Austin/1506-Bouldin-Ave-78704/home/31198903
489999,"510 Blackson Ave #2, Austin, TX 78752",2 beds,2.5 baths,"1,151",www.redfin.com/TX/Austin/510-Blackson-Ave-78752/unit-2/home/179147911
245000,"202 E 45th St #103, Austin, TX 78751",1 bed,1 bath,646,www.redfin.com/TX/Austin/202-E-45th-St-78751/unit-103/home/31431169
1374999,"231 Call Dr, Austin, TX 78737",4 beds,4.5 baths,"4,947",www.redfin.com/TX/Austin/231-Call-Dr-78737/home/167433534
479950,"6409 Orange Blossom Way, Austin, TX 78744",5 beds,2.5 baths,"2,592",www.redfin.com/TX/Austin/6409-Orange-Blossom-Way-78744/home/109974778
1250000,"2401 Homedale Cir, Austin, TX 78704",5 beds,2 baths,"2,450",www.redfin.com/TX/Austin/2401-Homedale-Cir-78704/home/31201342
375000,"7309 Blessing Ave, Austin, TX 78752",4 beds,3 baths,"1,747",www.redfin.com/TX/Austin/7309-Blessing-Ave-78752/home/31463254
685000,"7020 Ondantra Bnd, Austin, TX 78744",5 beds,3.5 baths,"3,065",www.redfin.com/TX/Austin/7020-Ondantra-Bnd-78744/home/109904865
159000,"4315 S Congress Ave #520, Austin, TX 78745",0 beds,1 bath,534,www.redfin.com/TX/Austin/4315-S-Congress-Ave-78745/unit-520/home/191782863
1169000,"7809 Old Bee Caves Rd #18, Austin, TX 78735",4 beds,4 baths,"2,462",www.redfin.com/TX/Austin/7809-Old-Bee-Caves-Rd-78735/unit-18/home/200031624
969000,"7809 Old Bee Caves Rd #17, Austin, TX 78735",3 beds,2.5 baths,"1,987",www.redfin.com/TX/Austin/7809-Old-Bee-Caves-Rd-78735/unit-17/home/200031623
939000,"7809 Old Bee Caves Rd #16, Austin, TX 78735",3 beds,3 baths,"1,854",www.redfin.com/TX/Austin/7809-Old-Bee-Caves-Rd-78735/unit-16/home/200031622
219950,"14902 Nuttall Dr, Austin, TX 78724",3 beds,1 bath,867,www.redfin.com/TX/Austin/14902-Nuttall-Dr-78724/home/30994980
509000,"4361 S Congress Ave #106, Austin, TX 78745",1 bed,1 bath,"1,256",www.redfin.com/TX/Austin/4361-S-Congress-Ave-78745/unit-106/home/144009852
450000,"1404 W Braker Ln, Austin, TX 78758",4 beds,2 baths,"1,606",www.redfin.com/TX/Austin/1404-W-Braker-Ln-78758/home/31922122
324900,"1503 W 9th St #204, Austin, TX 78703",1 bed,1 bath,600,www.redfin.com/TX/Austin/1503-W-9th-St-78703/unit-204/home/31159839
560000,"1909 Piedmont Ave, Austin, TX 78757",2 beds,1 bath,760,www.redfin.com/TX/Austin/1909-Piedmont-Ave-78757/home/31477486
470000,"15001 Dexler Dr, Austin, TX 78734",3 beds,2 baths,"1,161",www.redfin.com/TX/Austin/15001-Dexler-Dr-78734/home/31304830
375000,"7691 Delwau Ln, Austin, TX 78725",1 bed,— baths,201,www.redfin.com/TX/Austin/7691-Delwau-Ln-78725/home/190758425
485000,"5924 S Congress Ave Unit 11S, Austin, TX 78745",3 beds,3.5 baths,"1,608",www.redfin.com/TX/Austin/5924-S-Congress-Ave-78745/unit-11S/home/169745429
624900,"5828 Secrest Dr, Austin, TX 78759",3 beds,2 baths,"1,656",www.redfin.com/TX/Austin/5828-Secrest-Dr-78759/home/31326974
439900,"3108 E 51st St #203, Austin, TX 78723",2 beds,2.5 baths,"1,340",www.redfin.com/TX/Austin/3108-E-51st-St-78723/unit-203/home/144005478
999000,"20 N Peak Rd, West Lake Hills, TX 78746",2 beds,1 bath,"1,192",www.redfin.com/TX/West-Lake-Hills/20-N-Peak-Rd-78746/home/31216196
3800000,"302 Buckeye Trl, West Lake Hills, TX 78746",5 beds,4.5 baths,"3,958",www.redfin.com/TX/West-Lake-Hills/302-Buckeye-Trl-78746/home/31230824
2750000,"555 E 5th St #3022, Austin, TX 78701",3 beds,2.5 baths,"3,638",www.redfin.com/TX/Austin/555-E-5th-St-78701/unit-3022/home/31048184
1695000,"2602 Bend Cv, Austin, TX 78704",3 beds,3 baths,"2,079",www.redfin.com/TX/Austin/2602-Bend-Cv-78704/home/31201280
660000,"4407 Merle Dr Unit B, Austin, TX 78745",3 beds,3 baths,"1,900",www.redfin.com/TX/Austin/4407-Merle-Dr-78745/unit-B/home/195808662
760000,"4407 Merle Dr Unit A, Austin, TX 78745",3 beds,3 baths,"2,100",www.redfin.com/TX/Austin/4407-Merle-Dr-78745/unit-A/home/195645829
369000,"503 Swanee Dr #19, Austin, TX 78752",2 beds,2.5 baths,"1,538",www.redfin.com/TX/Austin/503-Swanee-Dr-78752/unit-19/home/40131101
395000,"8507 Selway Dr, Austin, TX 78736",3 beds,2 baths,"1,564",www.redfin.com/TX/Austin/8507-Selway-Dr-78736/home/31701196
329000,"904 West Ave #201, Austin, TX 78701",1 bed,1 bath,891,www.redfin.com/TX/Austin/904-West-Ave-78701/unit-201/home/34243493
699888,"201 La Vista St, Austin, TX 78704",3 beds,1 bath,"1,095",www.redfin.com/TX/Austin/201-La-Vista-St-78704/home/31695652
335000,"6509 Wagon Spring St, Del Valle, TX 78617",4 beds,2.5 baths,"2,043",www.redfin.com/TX/Del-Valle/6509-Wagon-Spring-St-78617/home/169747091
520000,"8216 Summer Side Dr, Austin, TX 78759",2 beds,2 baths,"1,674",www.redfin.com/TX/Austin/8216-Summer-Side-Dr-78759/home/31516477
450000,"3900 Lemos Dr, Austin, TX 78728",4 beds,2.5 baths,"2,370",www.redfin.com/TX/Austin/3900-Lemos-Dr-78728/home/31598641
349999,"505 W 7th St #113, Austin, TX 78701",1 bed,1 bath,666,www.redfin.com/TX/Austin/505-W-7th-St-78701/unit-113/home/31372240
235000,"2425 Ashdale Dr #41, Austin, TX 78757",2 beds,2 baths,973,www.redfin.com/TX/Austin/2425-Ashdale-Dr-78757/unit-41/home/31492506
1749000,"7609 Lazy River Cv, Austin, TX 78730",5 beds,3.5 baths,"4,246",www.redfin.com/TX/Austin/7609-Lazy-River-Cv-78730/home/31071394
575000,"3808 Latimer Dr, Austin, TX 78732",4 beds,3.5 baths,"3,030",www.redfin.com/TX/Austin/3808-Latimer-Dr-78732/home/31297585
1850000,"1612 Clifford Ave, Austin, TX 78702",4 beds,4 baths,"2,565",www.redfin.com/TX/Austin/1612-Clifford-Ave-78702/home/34246408
2350000,"2901 Maravillas Loop, Austin, TX 78735",4 beds,4 baths,"3,913",www.redfin.com/TX/Austin/2901-Maravillas-Loop-78735/home/31228337
337990,"14114 Edna Maxine Walk, Del Valle, TX 78617",3 beds,2.5 baths,"1,726",www.redfin.com/TX/Del-Valle/14114-Edna-Maxine-Walk-78617/home/199998692
1349000,"11708 Palisades Pkwy, Austin, TX 78732",4 beds,3.5 baths,"3,820",www.redfin.com/TX/Austin/11708-Palisades-Pkwy-78732/home/31161366
757343,"9104 The Ravine Way, Austin, TX 78744",4 beds,4.5 baths,"3,358",www.redfin.com/TX/Austin/9104-The-Ravine-Way-78744/home/179153779
363000,"6000 Shepherd Mountain Cv #917, Austin, TX 78730",2 beds,2 baths,918,www.redfin.com/TX/Austin/6000-Shepherd-Mountain-Cv-78730/unit-917/home/31120892
549000,"40 N Interstate 35 Unit 6D3, Austin, TX 78701",2 beds,2 baths,"1,533",www.redfin.com/TX/Austin/40-N-Interstate-35-78701/unit-6D3/home/31361458
625000,"4709 Mount Vernon Dr, Austin, TX 78745",3 beds,2 baths,"1,649",www.redfin.com/TX/Austin/4709-Mount-Vernon-Dr-78745/home/31720414
3395000,"2705 Warren St, Austin, TX 78703",4 beds,5 baths,"3,426",www.redfin.com/TX/Austin/2705-Warren-St-78703/home/31241620
415000,"2804 Treble Ln #902, Austin, TX 78704",1 bed,1 bath,751,www.redfin.com/TX/Austin/2804-Treble-Ln-78704/unit-902/home/40464477
555000,"48 East Ave #2802, Austin, TX 78701",0 beds,1 bath,450,www.redfin.com/TX/Austin/48-East-Ave-78701/unit-2802/home/187488383
579999,"1710 Woodland Ave, Austin, TX 78741",3 beds,2 baths,"1,992",www.redfin.com/TX/Austin/1710-Woodland-Ave-78741/home/31625316
585000,"1105 S Meadows Dr, Austin, TX 78758",3 beds,2.5 baths,"3,679",www.redfin.com/TX/Austin/1105-S-Meadows-Dr-78758/home/31520306
415000,"4802 S Congress Ave #118, Austin, TX 78745",2 beds,2 baths,"1,001",www.redfin.com/TX/Austin/4802-S-Congress-Ave-78745/unit-118/home/191782665
265000,"4710 Craigwood Dr, Austin, TX 78725",3 beds,2 baths,"1,204",www.redfin.com/TX/Austin/4710-Craigwood-Dr-78725/home/31394949
325000,"6624 Quinton Dr, Austin, TX 78747",3 beds,2.5 baths,"2,068",www.redfin.com/TX/Austin/6624-Quinton-Dr-78747/home/30996614
379900,"2128 Horse Wagon Dr, Austin, TX 78754",4 beds,2.5 baths,"2,432",www.redfin.com/TX/Austin/2128-Horse-Wagon-Dr-78754/home/31019039
555000,"44 East Ave #1706, Austin, TX 78701",1 bed,1 bath,538,www.redfin.com/TX/Austin/44-East-Ave-78701/unit-1706/home/172471191
224999,"909 Reinli St #144, Austin, TX 78751",2 beds,2 baths,914,www.redfin.com/TX/Austin/909-Reinli-St-78751/unit-144/home/109919382
423990,"1316 Sweet Bark St, Austin, TX 78745",3 beds,2.5 baths,"1,583",www.redfin.com/TX/Austin/1316-Sweet-Bark-St-78745/home/199890837
450000,"7614 Watson St, Austin, TX 78757",2 beds,2 baths,"1,050",www.redfin.com/TX/Austin/7614-Watson-St-78757/home/31480302
332500,"1181 Oakgrove Ave, Austin, TX 78702",2 beds,1 bath,904,www.redfin.com/TX/Austin/1181-Oakgrove-Ave-78702/home/31381147
600000,"11601 Quarter Horse Trl, Austin, TX 78750",4 beds,3 baths,"2,109",www.redfin.com/TX/Austin/11601-Quarter-Horse-Trl-78750/home/32785193
273700,"5326 Balcones Dr Unit D, Austin, TX 78731",2 beds,2 baths,992,www.redfin.com/TX/Austin/5326-Balcones-Dr-78731/unit-D/home/31254765
1150000,"4508 Chiappero Trl, Austin, TX 78731",3 beds,3 baths,"1,880",www.redfin.com/TX/Austin/4508-Chiappero-Trl-78731/home/31454075
225000,"6804 N Capital Of Texas Hwy #226, Austin, TX 78731",2 beds,2 baths,"1,072",www.redfin.com/TX/Austin/6804-N-Capital-of-Texas-Hwy-78731/unit-226/home/147342511
1139900,"2707 Salek Vw, Austin, TX 78741",4 beds,4 baths,"3,220",www.redfin.com/TX/Austin/2707-Salek-Vw-78741/home/188663972
310000,"4501 Whispering Valley Dr #24, Austin, TX 78727",2 beds,2.5 baths,"1,119",www.redfin.com/TX/Austin/4501-Whispering-Valley-Dr-78727/unit-24/home/31928856
449999,"4420 Jester Dr, Austin, TX 78745",3 beds,2 baths,"1,755",www.redfin.com/TX/Austin/4420-Jester-Dr-78745/home/31709143
285000,"7013 Tonka Ln, Austin, TX 78744",2 beds,1 bath,"1,013",www.redfin.com/TX/Austin/7013-Tonka-Ln-78744/home/147340997
1449000,"1809 W 10th St, Austin, TX 78703",3 beds,3 baths,"1,550",www.redfin.com/TX/Austin/1809-W-10th-St-78703/home/31221005
434990,"1326 Sweet Bark St, Austin, TX 78745",3 beds,2.5 baths,"1,583",www.redfin.com/TX/Austin/1326-Sweet-Bark-St-78745/home/198821574
649900,"5601 Toscana Ave, Austin, TX 78724",3 beds,2.5 baths,"2,253",www.redfin.com/TX/Austin/5601-Toscana-Ave-78724/home/31409687
359900,"5129 English Glade Dr, Austin, TX 78724",3 beds,2 baths,"1,918",www.redfin.com/TX/Austin/5129-English-Glade-Dr-78724/home/31081837
3700000,"1420 Wild Basin Ledge Lndg, Austin, TX 78746",4 beds,3 baths,"3,566",www.redfin.com/TX/Austin/1420-Wild-Basin-Ledge-78746/home/31242938
850000,"11204 Deadoak Ln, Austin, TX 78759",4 beds,2.5 baths,"2,659",www.redfin.com/TX/Austin/11204-Deadoak-Ln-78759/home/31328219
296000,"400 W 35th St #210, Austin, TX 78705",2 beds,2 baths,832,www.redfin.com/TX/Austin/400-W-35th-St-78705/unit-210/home/31129382
349900,"13424 Bauhaus Bnd, Pflugerville, TX 78660",3 beds,2 baths,"1,540",www.redfin.com/TX/Pflugerville/13424-Bauhaus-Bnd-78660/home/109915313
620000,"4711 Fieldstone Dr, Austin, TX 78735",4 beds,1.5 baths,"2,067",www.redfin.com/TX/Austin/4711-Fieldstone-Dr-78735/home/31684942
639000,"2103 Fordham Cv, Austin, TX 78723",3 beds,2 baths,"1,503",www.redfin.com/TX/Austin/2103-Fordham-Cv-78723/home/31451375
1750000,"7310 Woodrow St, Austin, TX 78757",5 beds,3.5 baths,"3,555",www.redfin.com/TX/Austin/7310-Woodrow-Ave-78757/home/197671793
499000,"6503 Linda Ln, Austin, TX 78723",3 beds,1 bath,"1,160",www.redfin.com/TX/Austin/6503-Linda-Ln-78723/home/31444983
1189000,"700 Ariana Ct, Austin, TX 78746",3 beds,3.5 baths,"2,410",www.redfin.com/TX/Austin/700-Ariana-Ct-78746/home/191783261
1000000,"206 E Live Oak St Unit C, Austin, TX 78704",2 beds,3.5 baths,"2,236",www.redfin.com/TX/Austin/206-E-Live-Oak-St-78704/unit-C/home/113171294
369900,"11407 Jim Thorpe Ln, Austin, TX 78748",3 beds,2 baths,"1,458",www.redfin.com/TX/Austin/11407-Jim-Thorpe-Ln-78748/home/30989486
1599999,"12212 Azure Shores Ct, Austin, TX 78732",5 beds,5 baths,"4,263",www.redfin.com/TX/Austin/12212-Azure-Shores-Ct-78732/home/31161347
239900,"2502 Leon St #213, Austin, TX 78705",1 bed,1 bath,533,www.redfin.com/TX/Austin/2502-Leon-St-78705/unit-213/home/113759002
730000,"5309 William Holland Ave #2, Austin, TX 78756",2 beds,2.5 baths,"2,138",www.redfin.com/TX/Austin/5309-William-Holland-Ave-78756/unit-2/home/103647577
569900,"3017 Sunridge Dr, Austin, TX 78741",3 beds,2.5 baths,"1,652",www.redfin.com/TX/Austin/3017-Sunridge-Dr-78741/home/31643680
710000,"10909 Twisted Elm Dr, Austin, TX 78726",5 beds,3 baths,"2,515",www.redfin.com/TX/Austin/10909-Twisted-Elm-Dr-78726/home/109899781
400000,"3506 Grayson Ln, Austin, TX 78722",3 beds,1 bath,"1,092",www.redfin.com/TX/Austin/3506-Grayson-Ln-78722/home/31402166
6495000,"1501 Ridgecrest Dr, Austin, TX 78746",6 beds,4.5 baths,"9,707",www.redfin.com/TX/Austin/1501-Ridgecrest-Dr-78746/home/31246838
444900,"3015 Sunridge Dr, Austin, TX 78741",2 beds,2 baths,"1,252",www.redfin.com/TX/Austin/3015-Sunridge-Dr-78741/home/31643679
4295000,"2201 Far Gallant, Austin, TX 78746",5 beds,3.5 baths,"5,702",www.redfin.com/TX/Austin/2201-Far-Gallant-Dr-78746/home/31247180
1450000,"2913 Cherry Ln Unit A, Austin, TX 78703",3 beds,2.5 baths,"1,906",www.redfin.com/TX/Austin/2913-Cherry-Ln-78703/unit-A/home/31116588
899000,"4101 Margarita St, Austin, TX 78723",3 beds,2.5 baths,"1,987",www.redfin.com/TX/Austin/4101-Margarita-St-78723/home/169748148
260000,"4604 Cleto St, Austin, TX 78725",3 beds,2 baths,"1,397",www.redfin.com/TX/Austin/4604-Cleto-St-78725/home/104200367
894900,"9004 Fallkill Dr, Austin, TX 78744",4 beds,3.5 baths,"3,491",www.redfin.com/TX/Austin/9004-Fallkill-Dr-78744/home/179154276
155000,"12166 Metric Blvd #1009, Austin, TX 78758",1 bed,1 bath,727,www.redfin.com/TX/Austin/12166-Metric-Blvd-78758/unit-1009/home/31136470
524900,"3103 Matador Dr, Austin, TX 78741",4 beds,2 baths,"1,490",www.redfin.com/TX/Austin/3103-Matador-Dr-78741/home/31639860
599000,"103 Cartwheel Bnd #51, Austin, TX 78738",3 beds,3.5 baths,"2,359",www.redfin.com/TX/Austin/103-Cartwheel-Bnd-78738/unit-51/home/187494444
885000,"1801 Travis Heights Blvd, Austin, TX 78704",3 beds,1 bath,"1,058",www.redfin.com/TX/Austin/1801-Travis-Heights-Blvd-78704/home/31621167
319000,"6317 Conestoga Wagon Way, Del Valle, TX 78617",3 beds,2.5 baths,"2,101",www.redfin.com/TX/Del-Valle/6317-Conestoga-Wagon-Way-78617/home/169747183
1435000,"6311 Rusty Ridge Dr, Austin, TX 78731",3 beds,3 baths,"2,326",www.redfin.com/TX/Austin/6311-Rusty-Ridge-Dr-78731/home/31271669
1099900,"228 Leaning Rock Rdg, Austin, TX 78737",4 beds,3.5 baths,"3,295",www.redfin.com/TX/Austin/228-Leaning-Rock-Rdg-78737/home/197880993
475000,"13918 Hummingbird Ln, Austin, TX 78732",3 beds,2.5 baths,"2,211",www.redfin.com/TX/Austin/13918-Hummingbird-Ln-78732/home/52405987
1200000,"15310 Storm Dr, Austin, TX 78734",6 beds,5.5 baths,—,www.redfin.com/TX/Austin/15310-Storm-Dr-78734/home/109927233
550000,"5921 Hi Line Rd #1204, Austin, TX 78734",3 beds,2 baths,"1,379",www.redfin.com/TX/Austin/5921-Hi-Line-Rd-78734/unit-1204/home/109916635
140000,"2320 Gracy Farms Ln #311, Austin, TX 78758",1 bed,1 bath,740,www.redfin.com/TX/Austin/2320-Gracy-Farms-Ln-78758/unit-311/home/31134058
769000,"1912 Romeria Dr Unit B, Austin, TX 78757",3 beds,2.5 baths,"1,959",www.redfin.com/TX/Austin/1912-Romeria-Dr-78757/unit-B/home/110353420
620000,"7800 Southwest Pkwy Pkwy #2020, Austin, TX 78735",3 beds,2 baths,"2,135",www.redfin.com/TX/Austin/7800-Southwest-Pkwy-78735/unit-2020/home/31158720
240000,"1705 Cherry Meadow Cir, Austin, TX 78745",3 beds,1 bath,914,www.redfin.com/TX/Austin/1705-Cherry-Meadow-Cir-78745/home/31762156
515000,"910 W 25th St #607, Austin, TX 78705",3 beds,2 baths,"1,205",www.redfin.com/TX/Austin/910-W-25th-St-78705/unit-607/home/31188654
1799000,"11805 Pleasant Panorama Vw, Austin, TX 78738",5 beds,5 baths,"3,656",www.redfin.com/TX/Austin/11805-Pleasant-Panorama-Vw-78738/home/31881498
885000,"3407 Hampton Rd Unit A and B, Austin, TX 78705",2 beds,2 baths,"1,056",www.redfin.com/TX/Austin/3407-Hampton-Rd-78705/unit-A-and-B/home/199988141
395000,"1317 Bradbury Ln, Austin, TX 78753",3 beds,2.5 baths,"2,136",www.redfin.com/TX/Austin/1317-Bradbury-Ln-78753/home/31926537
2199000,"2316 Euclid Ave, Austin, TX 78704",5 beds,5 baths,"2,912",www.redfin.com/TX/Austin/2316-Euclid-Ave-78704/home/190499104
549900,"8401 Alabama Dr, Austin, TX 78745",3 beds,2 baths,"1,740",www.redfin.com/TX/Austin/8401-Alabama-Dr-78745/home/31775593
415000,"14400 Mowsbury Dr, Austin, TX 78717",3 beds,2 baths,"1,678",www.redfin.com/TX/Austin/14400-Mowsbury-Dr-78717/home/32975582
1049000,"7908 Journeyville Dr, Austin, TX 78735",4 beds,4 baths,"4,160",www.redfin.com/TX/Austin/7908-Journeyville-Dr-78735/home/31103988
450000,"6416 Cowman Way, Austin, TX 78747",4 beds,3.5 baths,"2,072",www.redfin.com/TX/Austin/6416-Cowman-Way-78747/home/176239879
1250000,"1508 Ben Crenshaw Way, Austin, TX 78746",4 beds,2.5 baths,"2,733",www.redfin.com/TX/Austin/1508-Ben-Crenshaw-Way-78746/home/31228472
698000,"16113 Indina Hills Cv, Austin, TX 78717",3 beds,2.5 baths,"2,717",www.redfin.com/TX/Austin/16113-Indina-Hills-Cv-78717/home/32560733
859000,"394 Leaning Rock Rdg, Austin, TX 78737",4 beds,3.5 baths,"2,833",www.redfin.com/TX/Austin/394-Leaning-Rock-Ridge-RDG-78737/home/195492359
345000,"1612 Catalan Rd #201, Austin, TX 78748",3 beds,2.5 baths,"1,922",www.redfin.com/TX/Austin/1612-Catalan-Rd-78748/unit-201/home/144004605
350000,"13907 Tophill Cir, Pflugerville, TX 78660",5 beds,3 baths,"1,736",www.redfin.com/TX/Pflugerville/13907-Tophill-Cir-78660/home/31543487
2300000,"311 Ridgewood Rd, Austin, TX 78746",4 beds,5.5 baths,"3,581",www.redfin.com/TX/Austin/311-Ridgewood-Rd-78746/home/31222451
