price,street,beds,baths,sq ft,link
599000,"8011 Scotland Yard, Austin, TX 78759",3 beds,2.5 baths,"1,848",www.redfin.com/TX/Austin/8011-Scotland-Yard-78759/home/32747836
5365000,"400 Almarion Dr, Austin, TX 78746",5 beds,5.5 baths,"5,968",www.redfin.com/TX/Austin/400-Almarion-Dr-78746/home/31214992
529000,"9511 Meadowheath Dr, Austin, TX 78729",4 beds,2 baths,"1,504",www.redfin.com/TX/Austin/9511-Meadowheath-Dr-78729/home/32759707
565000,"15501 Connie St, Austin, TX 78728",3 beds,2 baths,"1,152",www.redfin.com/TX/Austin/15501-Connie-St-78728/home/31589578
1045000,"2800 Waymaker Way #40, Austin, TX 78746",4 beds,3 baths,"2,728",www.redfin.com/TX/Austin/2800-Waymaker-Way-78746/unit-40/home/31881372
1075000,"2405 Moreno St, Austin, TX 78723",3 beds,2.5 baths,"2,376",www.redfin.com/TX/Austin/2405-Moreno-St-78723/home/109896924
399950,"5721 Baythorne Dr, Austin, TX 78747",3 beds,3 baths,"1,584",www.redfin.com/TX/Austin/5721-Baythorne-Dr-78747/home/147338626
499000,"1115 Kirk Ave, Austin, TX 78702",3 beds,1 bath,940,www.redfin.com/TX/Austin/1115-Kirk-Ave-78702/home/31375435
435000,"13123 Mill Stone Dr, Austin, TX 78729",3 beds,2 baths,"1,685",www.redfin.com/TX/Austin/13123-Mill-Stone-Dr-78729/home/32745468
300000,"5305 Ingersoll Ln S, Austin, TX 78744",3 beds,2.5 baths,"1,914",www.redfin.com/TX/Austin/5305-Ingersoll-Ln-78744/home/92924520
765000,"11907 Singer Ct, Austin, TX 78726",4 beds,3.5 baths,"2,545",www.redfin.com/TX/Austin/11907-Singer-Ct-78726/home/179502120
473000,"10911 Claywood Dr, Austin, TX 78753",3 beds,2 baths,"2,195",www.redfin.com/TX/Austin/10911-Claywood-Dr-78753/home/31511664
799000,"8606 Thunderbird Rd Unit A & B, Austin, TX 78736",4 beds,3 baths,"2,874",www.redfin.com/TX/Austin/8606-Thunderbird-Rd-78736/unit-A/home/31708939
429900,"11303 Copper Spring Dr, Austin, TX 78748",4 beds,2.5 baths,"2,553",www.redfin.com/TX/Austin/11303-Copper-Spring-Dr-78748/home/194796196
4500000,"2704 Mountain Laurel Dr, Austin, TX 78703",5 beds,5.5 baths,"4,665",www.redfin.com/TX/Austin/2704-Mountain-Laurel-Dr-78703/home/31239528
595000,"2205 Jacks Pass, Austin, TX 78734",3 beds,2.5 baths,"2,153",www.redfin.com/TX/Austin/2205-Jacks-Pass-78734/home/31290982
345000,"2106 Ponciana Loop, Austin, TX 78744",4 beds,2 baths,"1,309",www.redfin.com/TX/Austin/2106-Ponciana-Loop-78744/home/31741809
949000,"2003 E 9th St, Austin, TX 78702",3 beds,3.5 baths,"1,860",www.redfin.com/TX/Austin/2003-E-9th-St-78702/home/31370875
569000,"9507 Sherbrooke St, Austin, TX 78729",5 beds,2 baths,"1,799",www.redfin.com/TX/Austin/9507-Sherbrooke-St-78729/home/32759696
300000,"7501 Shadowridge Run #149, Austin, TX 78749",3 beds,2.5 baths,"1,553",www.redfin.com/TX/Austin/7501-Shadowridge-Run-78749/unit-149/home/31992441
1448999,"13201 Mansfield Dr, Austin, TX 78732",4 beds,4.5 baths,"3,722",www.redfin.com/TX/Austin/13201-Mansfield-Dr-78732/home/45516940
599000,"1812 West Ave #306, Austin, TX 78701",2 beds,2 baths,"1,355",www.redfin.com/TX/Austin/1812-West-Ave-78701/unit-306/home/31166020
1225000,"300 Bowie St #2701, Austin, TX 78703",5 beds,3 baths,"1,631",www.redfin.com/TX/Austin/300-Bowie-St-78703/unit-2701/home/31158230
1090000,"1208 W Oltorf St Unit A, Austin, TX 78704",3 beds,3.5 baths,"1,904",www.redfin.com/TX/Austin/1208-W-Oltorf-St-78704/unit-A/home/191790966
319900,"4816 Aberdeen Dr Dr, Austin, TX 78745",3 beds,1.5 baths,"1,106",www.redfin.com/TX/Austin/4816-Aberdeen-Dr-78745/home/31720706
1150000,"6905 Twilight Mesa Dr, Austin, TX 78737",4 beds,2 baths,"2,602",www.redfin.com/TX/Austin/6905-Twilight-Mesa-Dr-78737/home/31962583
1699900,"1507 Newning Ave, Austin, TX 78704",3 beds,3.5 baths,"2,534",www.redfin.com/TX/Austin/1507-Newning-Ave-78704/home/31616744
699000,"240 Bolton Dr, Austin, TX 78737",3 beds,3.5 baths,"3,406",www.redfin.com/TX/Austin/240-Bolton-Dr-78737/home/33704146
810000,"13110 Broughton Way, Austin, TX 78727",4 beds,2.5 baths,"2,428",www.redfin.com/TX/Austin/13110-Broughton-Way-78727/home/31565259
5395000,"2405 Deer Pass, Austin, TX 78746",6 beds,6 baths,"4,322",www.redfin.com/TX/Austin/2405-Deer-Pass-78746/home/31246782
1595000,"4602 Rue St, Austin, TX 78731",3 beds,2 baths,"2,249",www.redfin.com/TX/Austin/4602-Rue-St-78731/home/31452872
625000,"7516 Orrick Dr, Austin, TX 78749",4 beds,2.5 baths,"3,010",www.redfin.com/TX/Austin/7516-Orrick-Dr-78749/home/31716842
485000,"502 Hummingbird Ln #1, Austin, TX 78734",3 beds,2 baths,"1,863",www.redfin.com/TX/Austin/502-Hummingbird-Ln-78734/unit-1/home/31123506
1790000,"200 Congress Ave Unit 21D, Austin, TX 78701",2 beds,2 baths,"1,609",www.redfin.com/TX/Austin/200-Congress-Ave-78701/unit-21D/home/31164701
400000,"9600 Sugar Hill Dr, Austin, TX 78748",4 beds,2 baths,"1,823",www.redfin.com/TX/Austin/9600-Sugar-Hill-Dr-78748/home/31802351
1699998,"11904 Bristlewood Cv, Austin, TX 78732",4 beds,3.5 baths,"4,065",www.redfin.com/TX/Austin/11904-Bristlewood-Cv-78732/home/31074903
775000,"48 East Ave #2204, Austin, TX 78701",1 bed,1 bath,893,www.redfin.com/TX/Austin/48-East-Ave-78701/unit-2204/home/187488344
375000,"11400 Oak View Dr, Austin, TX 78759",3 beds,2 baths,"1,458",www.redfin.com/TX/Austin/11400-Oak-View-Dr-78759/home/31327419
539000,"2711 Saint Edwards Cir, Austin, TX 78704",4 beds,2 baths,"1,862",www.redfin.com/TX/Austin/2711-Saint-Edwards-Cir-78704/home/31630883
2095000,"7805 Lazy River Cv, Austin, TX 78730",6 beds,5 baths,"4,453",www.redfin.com/TX/Austin/7805-Lazy-River-Cv-78730/home/31071694
775000,"603 Davis St #1002, Austin, TX 78701",3 beds,2 baths,"1,597",www.redfin.com/TX/Austin/603-Davis-St-78701/unit-1002/home/31124573
3650000,"3201 Rivercrest Dr, Austin, TX 78746",3 beds,4 baths,"3,346",www.redfin.com/TX/Austin/3201-Rivercrest-Dr-78746/home/31256173
390000,"6801 Beckett Rd Unit 134L, Austin, TX 78749",3 beds,2 baths,"1,277",www.redfin.com/TX/Austin/6801-Beckett-Rd-78749/unit-134L/home/31033160
582900,"3122 Fiorellino Pl, Cedar Park, TX 78613",5 beds,3.5 baths,"3,144",www.redfin.com/TX/Cedar-Park/3122-Fiorellino-Pl-78613/home/31007404
735000,"3114 Fiorellino Pl, Cedar Park, TX 78613",4 beds,3.5 baths,"3,353",www.redfin.com/TX/Cedar-Park/3114-Fiorellino-Pl-78613/home/31007393
2085000,"2004 Oxford Ave, Austin, TX 78704",4 beds,3.5 baths,"2,726",www.redfin.com/TX/Austin/2004-Oxford-Ave-78704/home/31200150
1875000,"901 Theresa Ave, Austin, TX 78703",3 beds,2.5 baths,"2,270",www.redfin.com/TX/Austin/901-Theresa-Ave-78703/home/31219543
765000,"2906 Burning Oak Dr, Austin, TX 78704",4 beds,2 baths,"1,107",www.redfin.com/TX/Austin/2906-Burning-Oak-Dr-78704/home/31687771
425000,"205 E Lola Dr, Austin, TX 78753",4 beds,3 baths,"2,020",www.redfin.com/TX/Austin/205-E-Lola-Dr-78753/home/31480150
2799000,"2609 Maria Anna Rd, Austin, TX 78703",5 beds,4 baths,"4,064",www.redfin.com/TX/Austin/2609-Maria-Anna-Rd-78703/home/31239371
2150000,"200 Congress Ave Unit 24E, Austin, TX 78701",2 beds,2 baths,"1,918",www.redfin.com/TX/Austin/200-Congress-Ave-78701/unit-24E/home/31164675
476100,"2414 Drew Ln #5, Austin, TX 78748",2 beds,2.5 baths,"1,173",www.redfin.com/TX/Austin/2414-Drew-Ln-78748/unit-5/home/200272317
1000000,"3907 Emory Peak Pass, Austin, TX 78731",4 beds,4.5 baths,"2,608",www.redfin.com/TX/Austin/3907-Emory-Peak-Pass-78703/home/169384587
950000,"900 S 2nd St #18, Austin, TX 78704",3 beds,2.5 baths,"1,579",www.redfin.com/TX/Austin/900-S-2nd-St-78704/unit-18/home/169740567
500000,"906 Fall Creek Dr, Austin, TX 78753",3 beds,2 baths,"1,750",www.redfin.com/TX/Austin/906-Fall-Creek-Dr-78753/home/31524125
550000,"1900 Valley Hill Cir, Austin, TX 78741",4 beds,4 baths,"1,950",www.redfin.com/TX/Austin/1900-Valley-Hill-Cir-78741/home/31627331
375000,"14800 Eiler Rd, Austin, TX 78719",3 beds,2 baths,"1,008",www.redfin.com/TX/Austin/14800-Eiler-Rd-78719/home/40132094
685000,"54 Rainey St #412, Austin, TX 78701",2 beds,2 baths,"1,164",www.redfin.com/TX/Austin/54-Rainey-St-78701/unit-412/home/31081680
439900,"9717 Anderson Village Dr, Austin, TX 78729",3 beds,2 baths,"1,312",www.redfin.com/TX/Austin/9717-Anderson-Village-Dr-78729/home/32745390
545000,"4900 Russet Hill Dr, Austin, TX 78723",3 beds,2 baths,"1,510",www.redfin.com/TX/Austin/4900-Russet-Hill-Dr-78723/home/31403588
389900,"8201 Belclaire Ln, Austin, TX 78748",3 beds,2 baths,"1,476",www.redfin.com/TX/Austin/8201-Belclaire-Ln-78748/home/31797787
975000,"809 E 44th St, Austin, TX 78751",3 beds,2 baths,"1,834",www.redfin.com/TX/Austin/809-E-44th-St-78751/home/31422504
410000,"13516 Albania Way, Austin, TX 78729",3 beds,2.5 baths,"2,158",www.redfin.com/TX/Austin/13516-Albania-Way-78729/home/32880424
420000,"5106 Woodrow Ave, Austin, TX 78756",2 beds,1 bath,720,www.redfin.com/TX/Austin/5106-Woodrow-Ave-78756/home/31454205
345000,"3705 Tower View Ct, Austin, TX 78723",2 beds,1 bath,840,www.redfin.com/TX/Austin/3705-Tower-View-Ct-78723/home/31403492
475000,"1303 Glencrest Dr, Austin, TX 78723",3 beds,2 baths,"1,402",www.redfin.com/TX/Austin/1303-Glencrest-Dr-78723/home/31451225
345000,"7504 Groundhog Way, Austin, TX 78744",4 beds,2 baths,"1,678",www.redfin.com/TX/Austin/7504-Groundhog-Way-78744/home/144007815
380000,"1154 Alamo St, Austin, TX 78702",3 beds,1 bath,841,www.redfin.com/TX/Austin/1154-Alamo-St-78702/home/31378403
579900,"5909 Lux St, Austin, TX 78721",3 beds,2 baths,"1,414",www.redfin.com/TX/Austin/5909-Lux-St-78721/home/31186780
240000,"5604 Woodrow Ave #11, Austin, TX 78756",1 bed,1.5 baths,683,www.redfin.com/TX/Austin/5604-Woodrow-Ave-78756/unit-11/home/31458935
486000,"11416 Dog Leg Dr, Austin, TX 78717",3 beds,2.5 baths,"1,702",www.redfin.com/TX/Austin/11416-Dog-Leg-Dr-78717/home/32580800
349900,"109 Hillhouse Ln, Manchaca, TX 78652",4 beds,3 baths,"2,088",www.redfin.com/TX/Manchaca/109-Hillhouse-Ln-78652/home/31182343
850000,"300 Bowie St #2301, Austin, TX 78703",2 beds,2 baths,"1,038",www.redfin.com/TX/Austin/300-Bowie-St-78703/unit-2301/home/31158390
399000,"12001 Vista Parke Dr #1104, Austin, TX 78726",2 beds,2 baths,"1,441",www.redfin.com/TX/Austin/12001-Vista-Parke-Dr-78726/unit-1104/home/179155160
249000,"2021 Bluebonnet Ln #203, Austin, TX 78704",1 bed,1 bath,571,www.redfin.com/TX/Austin/2021-Bluebonnet-Ln-78704/unit-203/home/31116490
405000,"4519 Avenue D, Austin, TX 78751",2 beds,1 bath,996,www.redfin.com/TX/Austin/4519-Avenue-D-78751/home/31435203
799900,"4309 Hank Ave Bldg 3, Austin, TX 78745",3 beds,2.5 baths,"1,650",www.redfin.com/TX/Austin/4309-Hank-Ave-78745/unit-3/home/199999766
299000,"8609 Quinton Cv, Austin, TX 78747",3 beds,2.5 baths,"1,515",www.redfin.com/TX/Austin/8609-Quinton-Cv-78747/home/31031365
159900,"4309 Hank Ave Bldg 2, Austin, TX 78745",1 bed,1 bath,480,www.redfin.com/TX/Austin/4309-Hank-Ave-78745/unit-2/home/199999936
759000,"300 Bowie St #2805, Austin, TX 78703",2 beds,2 baths,983,www.redfin.com/TX/Austin/300-Bowie-St-78703/unit-2805/home/31158243
895000,"15701 Pumpkin Ridge Dr, Austin, TX 78717",5 beds,3 baths,"3,270",www.redfin.com/TX/Austin/15701-Pumpkin-Ridge-Dr-78717/home/28937190
799000,"5710 Longhorn Lndg, Austin, TX 78734",3 beds,2.5 baths,"2,127",www.redfin.com/TX/Austin/5710-Longhorn-Lndg-78734/home/69444414
399000,"5321 Krueger Ln S, Austin, TX 78723",3 beds,2 baths,"1,506",www.redfin.com/TX/Austin/5321-Krueger-Ln-78723/home/31126012
515000,"13004 Esplanade St, Austin, TX 78727",3 beds,2.5 baths,"2,070",www.redfin.com/TX/Austin/13004-Esplanade-St-78727/home/31557502
629000,"1801 Duke Ave, Austin, TX 78757",3 beds,1 bath,"1,022",www.redfin.com/TX/Austin/1801-Duke-Ave-78757/home/31488593
379900,"4309 Hank Ave Bldg 1, Austin, TX 78745",2 beds,2 baths,"1,168",www.redfin.com/TX/Austin/4309-Hank-Ave-78745/unit-1/home/200000021
150000,"7801 Shoal Creek Blvd #246, Austin, TX 78757",1 bed,1 bath,598,www.redfin.com/TX/Austin/7801-Shoal-Creek-Blvd-78757/unit-246/home/31496308
1599990,"1806 Princeton Ave, Austin, TX 78757",4 beds,3.5 baths,"3,139",www.redfin.com/TX/Austin/1806-Princeton-Ave-78757/home/31488611
550000,"8406 Hornet Dr, Austin, TX 78749",3 beds,2 baths,"1,510",www.redfin.com/TX/Austin/8406-Hornet-Dr-78749/home/31758352
2249990,"1301 Ruth Ave, Austin, TX 78757",5 beds,4 baths,"3,399",www.redfin.com/TX/Austin/1301-Ruth-Ave-78757/home/31470788
455000,"3400 Stephans St, Pflugerville, TX 78660",4 beds,2.5 baths,"2,500",www.redfin.com/TX/Pflugerville/3400-Stephans-St-78660/home/31189927
450000,"1307 Kinney Ave #124, Austin, TX 78704",2 beds,2.5 baths,"1,101",www.redfin.com/TX/Austin/1307-Kinney-Ave-78704/unit-124/home/31203938
945000,"7240 Tanaqua Ln, Austin, TX 78739",4 beds,3.5 baths,"3,237",www.redfin.com/TX/Austin/7240-Tanaqua-Ln-78739/home/30985196
320000,"1912 Lightsey Rd #5, Austin, TX 78704",2 beds,1.5 baths,"1,034",www.redfin.com/TX/Austin/1912-Lightsey-Rd-78704/unit-5/home/117789541
249000,"1845 River Crossing Cir Unit B, Austin, TX 78741",2 beds,2 baths,"1,082",www.redfin.com/TX/Austin/1845-River-Crossing-Cir-78741/unit-B/home/30979900
200000,"6000 Shepherd Mountain Cv #1803, Austin, TX 78730",1 bed,1 bath,608,www.redfin.com/TX/Austin/6000-Shepherd-Mountain-Cv-78730/unit-1803/home/31123475
